Pressure,Qual0.5,Qual1,Qual2,Qual5,Qual10,Qual20,Qual30,Qual50,Qual100,Qual200,Qual500,,,,,,,,,,,,,,,,,,,
2.64,0.131912918,0.263651826,0.52660853,1.311326207,2.605456649,5.143029255,7.614486506,12.36590049,23.20264603,41.02166424,73.2864698,,,,,,,,,,,,,,,,,,,
2.66,0.132911594,0.265646533,0.530587386,1.321194581,2.62493361,5.180964455,7.669901188,12.45349079,23.35608725,41.25710638,73.55227387,,,,,,,,,,,,,,,,,,,
2.68,0.13391026,0.267641201,0.534566083,1.331061968,2.644406676,5.218884485,7.725282631,12.54099354,23.50922189,41.49160864,73.81543314,,,,,,,,,,,,,,,,,,,
2.7,0.134908916,0.269635828,0.538544621,1.340928368,2.663875848,5.25678935,7.780630856,12.62840883,23.66205057,41.72517476,74.07597394,,,,,,,,,,,,,,,,,,,
2.72,0.135907562,0.271630415,0.542523,1.350793782,2.683341126,5.294679056,7.835945881,12.71573675,23.81457389,41.95780849,74.3339223,,,,,,,,,,,,,,,,,,,
2.74,0.136906198,0.273624963,0.546501219,1.36065821,2.702802511,5.332553609,7.891227727,12.80297739,23.96679247,42.18951353,74.58930404,,,,,,,,,,,,,,,,,,,
2.76,0.137904824,0.27561947,0.550479279,1.370521651,2.722260005,5.370413015,7.946476414,12.89013083,24.11870692,42.42029361,74.84214469,,,,,,,,,,,,,,,,,,,
2.78,0.13890344,0.277613938,0.554457181,1.380384105,2.741713608,5.40825728,8.001691962,12.97719715,24.27031785,42.65015241,75.09246954,,,,,,,,,,,,,,,,,,,
2.8,0.139902046,0.279608366,0.558434923,1.390245574,2.76116332,5.446086411,8.05687439,13.06417646,24.42162585,42.87909362,75.34030361,,,,,,,,,,,,,,,,,,,
2.82,0.140900642,0.281602753,0.562412506,1.400106056,2.780609143,5.483900413,8.112023719,13.15106883,24.57263155,43.10712088,75.58567168,,,,,,,,,,,,,,,,,,,
2.84,0.141899228,0.283597102,0.56638993,1.409965553,2.800051076,5.521699293,8.167139969,13.23787435,24.72333553,43.33423786,75.82859831,,,,,,,,,,,,,,,,,,,
2.86,0.142897804,0.28559141,0.570367195,1.419824063,2.819489122,5.559483056,8.222223158,13.32459311,24.87373841,43.56044819,76.06910778,,,,,,,,,,,,,,,,,,,
2.88,0.14389637,0.287585678,0.5743443,1.429681588,2.838923281,5.597251708,8.277273307,13.41122519,25.02384078,43.78575548,76.30722413,,,,,,,,,,,,,,,,,,,
2.9,0.144894926,0.289579906,0.578321247,1.439538127,2.858353553,5.635005256,8.332290437,13.49777069,25.17364324,44.01016334,76.54297119,,,,,,,,,,,,,,,,,,,
2.92,0.145893472,0.291574095,0.582298035,1.44939368,2.87777994,5.672743706,8.387274566,13.58422968,25.3231464,44.23367537,76.77637253,,,,,,,,,,,,,,,,,,,
2.94,0.146892008,0.293568243,0.586274663,1.459248248,2.897202442,5.710467063,8.442225714,13.67060226,25.47235086,44.45629513,77.00745148,,,,,,,,,,,,,,,,,,,
2.96,0.147890534,0.295562352,0.590251133,1.469101831,2.916621059,5.748175334,8.497143901,13.75688851,25.6212572,44.67802619,77.23623116,,,,,,,,,,,,,,,,,,,
2.98,0.14888905,0.297556421,0.594227443,1.478954428,2.936035793,5.785868525,8.552029148,13.84308851,25.76986603,44.8988721,77.46273445,,,,,,,,,,,,,,,,,,,
3,0.149887556,0.29955045,0.598203595,1.48880604,2.955446645,5.823546642,8.606881473,13.92920236,25.91817793,45.11883639,77.68698399,,,,,,,,,,,,,,,,,,,
